---,Name,Classification,Classification2,StaticMesh,Image
135,CelingLamp0,furniture,lamp,StaticMesh'/Game/OfficeScene/Meshes/SM_CeilingLamp.SM_CeilingLamp',Texture2D'/Game/AssetDataList/Image/SM_CeilingLamp.SM_CeilingLamp'
136,CelingLight0,furniture,lamp,StaticMesh'/Game/DiningSets/Meshes/SM_CeilingLight01.SM_CeilingLight01',Texture2D'/Game/AssetDataList/Image/celinglight1.celinglight1'
137,CelingLight1,furniture,lamp,StaticMesh'/Game/DiningSets/Meshes/SM_CeilingLight02.SM_CeilingLight02',Texture2D'/Game/AssetDataList/Image/celinglight2.celinglight2'
138,CFcan0,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CFCan01.SM_CFCan01',Texture2D'/Game/AssetDataList/Image/CFCan1.CFCan1'
139,CFcan1,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CFCan03.SM_CFCan03',Texture2D'/Game/AssetDataList/Image/CFCan2.CFCan2'
140,CFcan2,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CFCan09.SM_CFCan09',Texture2D'/Game/AssetDataList/Image/CFCan3.CFCan3'
141,Chair,furniture,chair,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Chair_1.SM_Chair_1',Texture2D'/Game/AssetDataList/Image/Chair_1.Chair_1'
142,ChampagneBottle0,food,alcohol,StaticMesh'/Game/DiningSets/Meshes/SM_ChampagneBottle01_LP.SM_ChampagneBottle01_LP',Texture2D'/Game/AssetDataList/Image/champagne_bottle1.champagne_bottle1'
143,ChampagneBottle1,food,alcohol,StaticMesh'/Game/DiningSets/Meshes/SM_ChampagneBottle02.SM_ChampagneBottle02',Texture2D'/Game/AssetDataList/Image/champagne_bottle2.champagne_bottle2'
144,ChampagneBottle2,food,alcohol,StaticMesh'/Game/DiningSets/Meshes/SM_ChampagneBottle04.SM_ChampagneBottle04',Texture2D'/Game/AssetDataList/Image/champagne_bottle3.champagne_bottle3'
145,CheckCounter,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_CheckoutCounter_01.SM_CheckoutCounter_01',Texture2D'/Game/AssetDataList/Image/CheckoutCounter.CheckoutCounter'
146,CheckoutNumber0,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_CheckoutNumber1.SM_CheckoutNumber1',Texture2D'/Game/AssetDataList/Image/CheckoutNumber1.CheckoutNumber1'
147,CheckoutNumber1,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_CheckoutNumber2.SM_CheckoutNumber2',Texture2D'/Game/AssetDataList/Image/CheckoutNumber2.CheckoutNumber2'
148,ChildrenChair,furniture,bed,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/BedAndTable/SM_ChildrenChair.SM_ChildrenChair',Texture2D'/Game/AssetDataList/Image/ChildrenChair.ChildrenChair'
149,ChocolateMilkBottle,food,drink,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_ChocolateMilkBottle.SM_ChocolateMilkBottle',Texture2D'/Game/AssetDataList/Image/ChocolateMilkBottle.ChocolateMilkBottle'
150,ChocolateMilkGalon,food,drink,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_ChocolateMilkGalon.SM_ChocolateMilkGalon',Texture2D'/Game/AssetDataList/Image/ChocolateMilkGalon.ChocolateMilkGalon'
151,Classicchair,furniture,chair,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_chair.SM_Classic_chair',Texture2D'/Game/AssetDataList/Image/classicchair.classicchair'
152,ClassicCommode0,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Commode.SM_Classic_Commode',Texture2D'/Game/AssetDataList/Image/ClassicCommode0.ClassicCommode0'
153,ClassicCommode0_Drawer,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Commode_Drawer_1.SM_Classic_Commode_Drawer_1',Texture2D'/Game/AssetDataList/Image/ClassicCommode0_Drawer.ClassicCommode0_Drawer'
154,ClassicCommode1,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Commode_2.SM_Classic_Commode_2',Texture2D'/Game/AssetDataList/Image/ClassicCommode1.ClassicCommode1'
155,ClassicCommode1_Drawer,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Commode_Drawer_2.SM_Classic_Commode_Drawer_2',Texture2D'/Game/AssetDataList/Image/ClassicCommode1_Drawer.ClassicCommode1_Drawer'
156,ClassicCommode2,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Commode.SM_Commode',Texture2D'/Game/AssetDataList/Image/ClassicCommode.ClassicCommode'
157,ClassicCupboard,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Cupboard.SM_Classic_Cupboard',Texture2D'/Game/AssetDataList/Image/ClassicCupboard.ClassicCupboard'
158,ClassicCupboard_DoorLeft,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Cupboard_Door_Left.SM_Classic_Cupboard_Door_Left',Texture2D'/Game/AssetDataList/Image/ClassicCupboard_DoorLeft.ClassicCupboard_DoorLeft'
159,ClassicCupboard_DoorRight,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Cupboard_Door_Right.SM_Classic_Cupboard_Door_Right',Texture2D'/Game/AssetDataList/Image/ClassicCupboard_DoorRight.ClassicCupboard_DoorRight'
160,ClassicCupboard_Drawer,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Cupboard_Drawer.SM_Classic_Cupboard_Drawer',Texture2D'/Game/AssetDataList/Image/ClassicCupboard_Drawer.ClassicCupboard_Drawer'
161,ClassicLeather_Armchair,furniture,chair,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Leather_Armchair.SM_Classic_Leather_Armchair',Texture2D'/Game/AssetDataList/Image/ClassicLeather_Armchair.ClassicLeather_Armchair'
162,ClassicLeather_Sofa0,furniture,chair,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Leather_Sofa.SM_Classic_Leather_Sofa',Texture2D'/Game/AssetDataList/Image/ClassicLeather_Sofa.ClassicLeather_Sofa'
163,ClassicLeather_Sofa1,furniture,chair,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Leather_sofa_2.SM_Classic_Leather_sofa_2',Texture2D'/Game/AssetDataList/Image/ClassicLeather_Sofa1.ClassicLeather_Sofa1'
164,Classicpicture,furniture,picture,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Picture.SM_Classic_Picture',Texture2D'/Game/AssetDataList/Image/Classicpicture.Classicpicture'
165,ClassicRound_Table,furniture,table,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_Round_Table.SM_Classic_Round_Table',Texture2D'/Game/AssetDataList/Image/ClassicRound_Table.ClassicRound_Table'
166,Classictable,furniture,table,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Classic_table.SM_Classic_table',Texture2D'/Game/AssetDataList/Image/Classictable.Classictable'
167,CleaningBucket,item,itemetc,StaticMesh'/Game/MMSupermarket/Props/Mesh/SM_CleaningBucket.SM_CleaningBucket',Texture2D'/Game/AssetDataList/Image/CleaningBucket.CleaningBucket'
168,CleanPower0,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CP1CleanPowder2.SM_CP1CleanPowder2',Texture2D'/Game/AssetDataList/Image/Cleanpowder1.Cleanpowder1'
169,CleanPower1,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CP1CleanPowder1.SM_CP1CleanPowder1',Texture2D'/Game/AssetDataList/Image/Cleanpowder2.Cleanpowder2'
170,Clock,item,living,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/Clock/SM_Clock.SM_Clock',Texture2D'/Game/AssetDataList/Image/Clock.Clock'
171,ClothesBasket,item,living,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_ClothesBasket.SM_ClothesBasket',Texture2D'/Game/AssetDataList/Image/SM_ClothesBasket.SM_ClothesBasket'
172,ClothesRail_double,furniture,furnitureetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_ClothesRail_double.SM_ClothesRail_double',Texture2D'/Game/AssetDataList/Image/SM_ClothesRail_double.SM_ClothesRail_double'
173,ClothesRail_single,furniture,furnitureetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_ClothesRail_single.SM_ClothesRail_single',Texture2D'/Game/AssetDataList/Image/SM_ClothesRail_single.SM_ClothesRail_single'
174,Coffee,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_TCCoffee1.SM_TCCoffee1',Texture2D'/Game/AssetDataList/Image/Coffee1.Coffee1'
175,Coffee_Table,furniture,table,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Coffee_Table.SM_Coffee_Table',Texture2D'/Game/AssetDataList/Image/Coffee_Table.Coffee_Table'
176,CoffeeMachine,item,machine,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_CoffeeMachine.SM_CoffeeMachine',Texture2D'/Game/AssetDataList/Image/SM_CoffeeMachine.SM_CoffeeMachine'
177,CoffeeTable,furniture,table,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_CoffeeTable.SM_CoffeeTable',Texture2D'/Game/AssetDataList/Image/SM_CoffeeTable.SM_CoffeeTable'
178,Coke,food,drink,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_FDBottle01_C_Big.SM_FDBottle01_C_Big',Texture2D'/Game/AssetDataList/Image/Bottle_Bia1.Bottle_Bia1'
179,Coking_small,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CookingOil_Small.SM_CookingOil_Small',Texture2D'/Game/AssetDataList/Image/CookingOil_Small.CookingOil_Small'
180,ConcreteVase,plants,vase,StaticMesh'/Game/HouseplantPack/Geometry/Pots/SM_concretePot.SM_concretePot',Texture2D'/Game/AssetDataList/Image/Concrete.Concrete'
181,Conifer0,plants,tree,StaticMesh'/Game/NaturePackage/Meshes/RescaledFlora/Conifer1.Conifer1',Texture2D'/Game/AssetDataList/Image/conifer1.conifer1'
182,Conifer1,plants,tree,StaticMesh'/Game/NaturePackage/Meshes/flora/Conifer5.Conifer5',Texture2D'/Game/AssetDataList/Image/conifer2.conifer2'
183,Conifer2,plants,tree,StaticMesh'/Game/NaturePackage/Meshes/RescaledFlora/Conifer8.Conifer8',Texture2D'/Game/AssetDataList/Image/conifer3.conifer3'
184,CookerStove,room,kitchen,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_CookerStove.SM_CookerStove',Texture2D'/Game/AssetDataList/Image/SM_CookerStove.SM_CookerStove'
185,Cooking_Big,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CookingOil_Big.SM_CookingOil_Big',Texture2D'/Game/AssetDataList/Image/CookingOil.CookingOil'
186,Corner_BasementA,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_Basement_Inside_A.SM_Corner_Basement_Inside_A',Texture2D'/Game/AssetDataList/Image/Corner_BasementA.Corner_BasementA'
187,Corner_BasementA1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_Basement_Inside_A1.SM_Corner_Basement_Inside_A1',Texture2D'/Game/AssetDataList/Image/Corner_BasementA1.Corner_BasementA1'
188,Corner_FloorA,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_A.SM_Corner_1Floor_A',Texture2D'/Game/AssetDataList/Image/Corner_FloorA.Corner_FloorA'
189,Corner_FloorA1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_A1.SM_Corner_1Floor_A1',Texture2D'/Game/AssetDataList/Image/Corner_FloorA1.Corner_FloorA1'
190,Corner_FloorA1sym,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_A1_Sym.SM_Corner_1Floor_A1_Sym',Texture2D'/Game/AssetDataList/Image/Corner_FloorA1sym.Corner_FloorA1sym'
191,Corner_FloorA2,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_A2.SM_Corner_1Floor_A2',Texture2D'/Game/AssetDataList/Image/Corner_FloorA2.Corner_FloorA2'
192,Corner_FloorA2sym,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_A2_Sym.SM_Corner_1Floor_A2_Sym',Texture2D'/Game/AssetDataList/Image/Corner_FloorA2sym.Corner_FloorA2sym'
193,Corner_FloorA3,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_A3.SM_Corner_1Floor_A3',Texture2D'/Game/AssetDataList/Image/Corner_FloorA3.Corner_FloorA3'
194,Corner_FloorA3sym,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_A3_Sym.SM_Corner_1Floor_A3_Sym',Texture2D'/Game/AssetDataList/Image/Corner_FloorA3sym.Corner_FloorA3sym'
195,Corner_FloorA4,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_A4.SM_Corner_1Floor_A4',Texture2D'/Game/AssetDataList/Image/Corner_FloorA4.Corner_FloorA4'
196,Corner_FloorA4sym,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_A4_Sym.SM_Corner_1Floor_A4_Sym',Texture2D'/Game/AssetDataList/Image/Corner_FloorA4sym.Corner_FloorA4sym'
197,Corner_InnerA,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_Inner_A.SM_Corner_1Floor_Inner_A',Texture2D'/Game/AssetDataList/Image/Corner_InnerA.Corner_InnerA'
198,Corner_InnerA1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_Inner_A1.SM_Corner_1Floor_Inner_A1',Texture2D'/Game/AssetDataList/Image/Corner_InnerA1.Corner_InnerA1'
199,Corner_InsideA1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_1Floor_Inside_A1.SM_Corner_1Floor_Inside_A1',Texture2D'/Game/AssetDataList/Image/Corner_InsideA1.Corner_InsideA1'
200,Corner_OutsideA,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Cross_Outside_A.SM_Cross_Outside_A',Texture2D'/Game/AssetDataList/Image/Corner_OutsideA.Corner_OutsideA'
201,Corner_OutsideA1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Cross_Outside_A1.SM_Cross_Outside_A1',Texture2D'/Game/AssetDataList/Image/Corner_OutsideA1.Corner_OutsideA1'
202,Corner2_FloorA,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_2Floor_A.SM_Corner_2Floor_A',Texture2D'/Game/AssetDataList/Image/Corner2_FloorA.Corner2_FloorA'
203,Corner2_FloorA1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_2Floor_A1.SM_Corner_2Floor_A1',Texture2D'/Game/AssetDataList/Image/Corner2_FloorA1.Corner2_FloorA1'
204,Corner2_FloorA1sym,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_2Floor_A1_Sym.SM_Corner_2Floor_A1_Sym',Texture2D'/Game/AssetDataList/Image/Corner2_FloorA1sym.Corner2_FloorA1sym'
205,Corner2_FloorA2,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_2Floor_A2.SM_Corner_2Floor_A2',Texture2D'/Game/AssetDataList/Image/Corner2_FloorA2.Corner2_FloorA2'
206,Corner2_FloorA2sym,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_2Floor_A2_Sym.SM_Corner_2Floor_A2_Sym',Texture2D'/Game/AssetDataList/Image/Corner2_FloorA2sym.Corner2_FloorA2sym'
207,Corner2_FloorA3,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_2Floor_A3.SM_Corner_2Floor_A3',Texture2D'/Game/AssetDataList/Image/Corner2_FloorA3.Corner2_FloorA3'
208,Corner2_FloorA3sym,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_2Floor_A3_Sym.SM_Corner_2Floor_A3_Sym',Texture2D'/Game/AssetDataList/Image/Corner2_FloorA3sym.Corner2_FloorA3sym'
209,Corner2_FloorA4,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_2Floor_A4.SM_Corner_2Floor_A4',Texture2D'/Game/AssetDataList/Image/Corner2_FloorA4.Corner2_FloorA4'
210,Corner2_FloorA4sym,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Corners/SM_Corner_2Floor_A4_Sym.SM_Corner_2Floor_A4_Sym',Texture2D'/Game/AssetDataList/Image/Corner2_FloorA4sym.Corner2_FloorA4sym'
211,CreamCheese,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CreamCheese01.SM_CreamCheese01',Texture2D'/Game/AssetDataList/Image/Cheese.Cheese'
212,Curtain,item,itemetc,StaticMesh'/Game/MMSupermarket/Props/Mesh/SM_Curtain01.SM_Curtain01',Texture2D'/Game/AssetDataList/Image/Curtain.Curtain'
213,Deco0,item,itemetc,StaticMesh'/Game/DiningSets/Meshes/SM_Deco01.SM_Deco01',Texture2D'/Game/AssetDataList/Image/deco01.deco01'
214,Deco1,item,itemetc,StaticMesh'/Game/DiningSets/Meshes/SM_Deco02.SM_Deco02',Texture2D'/Game/AssetDataList/Image/deco02.deco02'
215,DeskLamp0,furniture,lamp,StaticMesh'/Game/OfficeScene/Meshes/SM_DeskLamp.SM_DeskLamp',Texture2D'/Game/AssetDataList/Image/SM_DeskLamp.SM_DeskLamp'
216,DeskLamp1,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_DeskLamp.SM_DeskLamp',Texture2D'/Game/AssetDataList/Image/DeskLamp2.DeskLamp2'
217,DeskLamp2,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_DeskLamp_02.SM_DeskLamp_02',Texture2D'/Game/AssetDataList/Image/DeskLamp1.DeskLamp1'
218,DeskTray,furniture,cabinet,StaticMesh'/Game/OfficeScene/Meshes/SM_DeskTray.SM_DeskTray',Texture2D'/Game/AssetDataList/Image/SM_DeskTray.SM_DeskTray'
219,Detergent0,item,living,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CP1Detergent2.SM_CP1Detergent2',Texture2D'/Game/AssetDataList/Image/Detergent1.Detergent1'
220,Detergent1,item,living,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CP1Detergent3.SM_CP1Detergent3',Texture2D'/Game/AssetDataList/Image/Detergent2.Detergent2'
221,Diaper0,item,living,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_SPDiaper1.SM_SPDiaper1',Texture2D'/Game/AssetDataList/Image/Diaper1.Diaper1'
222,Diaper1,item,living,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_SPDiaper2.SM_SPDiaper2',Texture2D'/Game/AssetDataList/Image/Diaper2.Diaper2'
223,DiningBench0,furniture,chair,StaticMesh'/Game/DiningSets/Meshes/SM_DiningBench_Set25.SM_DiningBench_Set25',Texture2D'/Game/AssetDataList/Image/dining_bench1.dining_bench1'
224,DiningBench1,furniture,chair,StaticMesh'/Game/DiningSets/Meshes/SM_DiningBench_Set32.SM_DiningBench_Set32',Texture2D'/Game/AssetDataList/Image/dining_bench2.dining_bench2'
225,DiningChair,room,kitchen,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_DiningChair.SM_DiningChair',Texture2D'/Game/AssetDataList/Image/SM_DiningChair.SM_DiningChair'
226,DiningChair0,furniture,chair,StaticMesh'/Game/DiningSets/Meshes/SM_DiningChair_Set01.SM_DiningChair_Set01',Texture2D'/Game/AssetDataList/Image/dining_chair1.dining_chair1'
227,DiningChair1,furniture,chair,StaticMesh'/Game/DiningSets/Meshes/SM_DiningChair_Set02.SM_DiningChair_Set02',Texture2D'/Game/AssetDataList/Image/dining_chair2.dining_chair2'
228,DiningChair2,furniture,chair,StaticMesh'/Game/DiningSets/Meshes/SM_DiningChair_Set06.SM_DiningChair_Set06',Texture2D'/Game/AssetDataList/Image/dining_chair3.dining_chair3'
229,DiningChair3,furniture,chair,StaticMesh'/Game/DiningSets/Meshes/SM_DiningChair_Set56.SM_DiningChair_Set56',Texture2D'/Game/AssetDataList/Image/dining_chair4.dining_chair4'
230,DiningChair4,furniture,chair,StaticMesh'/Game/DiningSets/Meshes/SM_DiningChair_Set61.SM_DiningChair_Set61',Texture2D'/Game/AssetDataList/Image/dining_chair5.dining_chair5'
231,DiningChair5,furniture,chair,StaticMesh'/Game/DiningSets/Meshes/SM_DiningChair_Set29.SM_DiningChair_Set29',Texture2D'/Game/AssetDataList/Image/dining_chair6.dining_chair6'
232,DiningChair6,furniture,chair,StaticMesh'/Game/DiningSets/Meshes/SM_DiningChair_Set64.SM_DiningChair_Set64',Texture2D'/Game/AssetDataList/Image/dining_chair7.dining_chair7'
233,DiningCredenza0,furniture,cabinet,StaticMesh'/Game/DiningSets/Meshes/SM_DiningCredenza_Set01.SM_DiningCredenza_Set01',Texture2D'/Game/AssetDataList/Image/dining_credenza1.dining_credenza1'
234,DiningCredenza1,furniture,cabinet,StaticMesh'/Game/DiningSets/Meshes/SM_DiningCredenza_Set12.SM_DiningCredenza_Set12',Texture2D'/Game/AssetDataList/Image/dining_credenza2.dining_credenza2'
235,DiningCredenza2,furniture,cabinet,StaticMesh'/Game/DiningSets/Meshes/SM_DiningCredenza_Set17_LP.SM_DiningCredenza_Set17_LP',Texture2D'/Game/AssetDataList/Image/dining_credenza3.dining_credenza3'
236,DiningCredenza3,furniture,cabinet,StaticMesh'/Game/DiningSets/Meshes/SM_DiningCredenza_Set24.SM_DiningCredenza_Set24',Texture2D'/Game/AssetDataList/Image/dining_credenza4.dining_credenza4'
237,DiningCredenza4,furniture,cabinet,StaticMesh'/Game/DiningSets/Meshes/SM_DiningHutch_Set01A.SM_DiningHutch_Set01A',Texture2D'/Game/AssetDataList/Image/dining_credenza5.dining_credenza5'
238,DiningCredenza5,furniture,cabinet,StaticMesh'/Game/DiningSets/Meshes/SM_DiningHutch_Set45.SM_DiningHutch_Set45',Texture2D'/Game/AssetDataList/Image/dining_credenza6.dining_credenza6'
239,DiningCredenza6,furniture,cabinet,StaticMesh'/Game/DiningSets/Meshes/SM_DiningHutch_Set47.SM_DiningHutch_Set47',Texture2D'/Game/AssetDataList/Image/dining_credenza7.dining_credenza7'
240,DiningTable0,furniture,table,StaticMesh'/Game/DiningSets/Meshes/SM_DiningTable_Set01_LP.SM_DiningTable_Set01_LP',Texture2D'/Game/AssetDataList/Image/dining_table1.dining_table1'
241,DiningTable1,furniture,table,StaticMesh'/Game/DiningSets/Meshes/SM_DiningTable_Set02.SM_DiningTable_Set02',Texture2D'/Game/AssetDataList/Image/dining_table2.dining_table2'
242,DiningTable2,furniture,table,StaticMesh'/Game/DiningSets/Meshes/SM_DiningTable_Set06.SM_DiningTable_Set06',Texture2D'/Game/AssetDataList/Image/dining_table3.dining_table3'
243,DiningTable3,furniture,table,StaticMesh'/Game/DiningSets/Meshes/SM_DiningTable_Set16.SM_DiningTable_Set16',Texture2D'/Game/AssetDataList/Image/dining_table4.dining_table4'
244,DiningTable4,furniture,table,StaticMesh'/Game/DiningSets/Meshes/SM_DiningTable_Set20.SM_DiningTable_Set20',Texture2D'/Game/AssetDataList/Image/dining_table5.dining_table5'
245,DiningTable5,furniture,table,StaticMesh'/Game/DiningSets/Meshes/SM_DiningTable_Set43.SM_DiningTable_Set43',Texture2D'/Game/AssetDataList/Image/dining_table6.dining_table6'
246,DiningTable6,furniture,table,StaticMesh'/Game/DiningSets/Meshes/SM_DiningTable_Set44.SM_DiningTable_Set44',Texture2D'/Game/AssetDataList/Image/dining_table7.dining_table7'
247,DobleDoor_Right,room,hall,StaticMesh'/Game/MMSupermarket/SMBuilding/Mesh/SM_DoubleDoor_Right.SM_DoubleDoor_Right',Texture2D'/Game/AssetDataList/Image/Door2.Door2'
248,DogFood,item,itemetc,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_PFDogFood1.SM_PFDogFood1',Texture2D'/Game/AssetDataList/Image/DogFood1.DogFood1'
249,Donut0,food,bread,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Donut01.SM_Donut01',Texture2D'/Game/AssetDataList/Image/Donut1.Donut1'
250,Donut1,food,bread,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Donut02.SM_Donut02',Texture2D'/Game/AssetDataList/Image/Donut2.Donut2'
251,Door0,room,hall,StaticMesh'/Game/ModularFantasyHouse/Meshes/SM_Door_1.SM_Door_1',Texture2D'/Game/AssetDataList/Image/Door_1.Door_1'
252,Door1,room,door,StaticMesh'/Game/ModularFantasyHouse/Meshes/SM_Door_2.SM_Door_2',Texture2D'/Game/AssetDataList/Image/Door_2.Door_2'
253,Door2,room,hall,StaticMesh'/Game/MMSupermarket/SMBuilding/Mesh/SM_Door_01.SM_Door_01',Texture2D'/Game/AssetDataList/Image/Door3.Door3'
254,DoorFrameA,room,roometc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_DoorFrameA.SM_DoorFrameA',Texture2D'/Game/AssetDataList/Image/SM_DoorFrameA.SM_DoorFrameA'
255,DoorFrameB,room,roometc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_DoorFrameB.SM_DoorFrameB',Texture2D'/Game/AssetDataList/Image/SM_DoorFrameB.SM_DoorFrameB'
256,DoorFrameC,room,roometc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_DoorFrameC.SM_DoorFrameC',Texture2D'/Game/AssetDataList/Image/SM_DoorFrameC.SM_DoorFrameC'
257,DoorMat,room,hall,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_DoorMat.SM_DoorMat',Texture2D'/Game/AssetDataList/Image/SM_DoorMat.SM_DoorMat'
258,DoubleDoor_Left,room,hall,StaticMesh'/Game/MMSupermarket/SMBuilding/Mesh/SM_DoubleDoor_Left.SM_DoubleDoor_Left',Texture2D'/Game/AssetDataList/Image/Door1.Door1'
259,DrinkingGlass0,item,living,StaticMesh'/Game/DiningSets/Meshes/SM_DrinkingGlass01.SM_DrinkingGlass01',Texture2D'/Game/AssetDataList/Image/drinking_glass1.drinking_glass1'
260,DrinkingGlass1,item,living,StaticMesh'/Game/DiningSets/Meshes/SM_DrinkingGlass02.SM_DrinkingGlass02',Texture2D'/Game/AssetDataList/Image/drinking_glass2.drinking_glass2'
261,DrinkingGlass2,item,living,StaticMesh'/Game/DiningSets/Meshes/SM_DrinkingGlass04.SM_DrinkingGlass04',Texture2D'/Game/AssetDataList/Image/drinking_glass3.drinking_glass3'
262,DryerMachine,room,bath,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_DryerMachine.SM_DryerMachine',Texture2D'/Game/AssetDataList/Image/SM_DryerMachine.SM_DryerMachine'
263,Egg,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_EggTray.SM_EggTray',Texture2D'/Game/AssetDataList/Image/EggTray.EggTray'
